,Product_ID,Source,Sales_Agent,Location,Delivery_Mode,Status
0,18,7,11,7,4,1
1,18,7,10,7,4,1
2,18,7,10,7,4,1
3,18,7,10,7,4,1
4,18,7,10,7,4,1
5,18,7,10,7,4,1
6,18,7,10,7,4,1
7,18,7,10,7,4,1
8,18,7,10,7,4,1
9,18,7,10,7,4,1
10,18,7,10,7,4,1
11,18,7,10,7,4,1
12,18,7,10,7,4,1
13,18,6,10,7,4,1
14,18,7,10,7,4,1
15,18,6,10,7,4,1
16,18,7,10,7,4,1
17,18,7,10,7,4,1
18,9,5,9,6,3,1
19,19,6,8,7,4,1
20,18,7,10,7,4,1
21,18,6,10,7,4,1
22,18,7,10,7,4,1
23,18,6,7,5,2,1
24,18,7,11,7,3,1
25,15,7,6,4,3,0
26,18,6,6,6,3,1
27,18,5,7,7,2,0
28,27,6,11,3,4,1
29,19,5,8,5,1,1
30,19,5,8,5,0,0
31,18,6,6,6,3,0
32,27,5,11,4,2,1
33,9,4,6,6,0,1
34,9,6,8,6,3,1
35,9,7,11,6,3,1
36,19,7,6,7,3,0
37,18,5,7,6,3,1
38,5,5,6,5,2,1
39,19,5,8,2,0,1
40,9,6,8,3,4,1
41,9,5,11,5,2,0
42,18,6,7,3,3,0
43,2,6,7,7,4,1
44,9,6,11,6,4,1
45,15,6,11,7,4,0
46,15,6,6,7,4,0
47,19,5,8,7,4,0
48,15,6,6,7,4,0
49,0,6,8,7,4,1
50,18,6,8,6,4,1
51,15,6,11,7,4,1
52,9,6,8,1,4,0
53,15,6,6,7,4,0
54,9,6,7,6,3,1
55,19,6,7,6,3,1
56,9,4,7,3,3,1
57,5,5,7,5,2,1
58,27,7,8,4,3,1
59,18,7,11,7,2,0
60,9,7,7,6,3,1
61,18,7,8,6,3,1
62,19,7,7,7,3,1
63,19,7,6,2,2,0
64,19,7,11,3,3,1
65,15,7,7,7,2,0
66,19,6,11,6,4,1
67,19,6,8,3,3,1
68,27,5,8,7,2,1
69,18,5,6,7,2,1
70,18,7,11,3,3,1
71,9,5,7,5,2,1
72,19,7,11,7,3,1
73,9,6,6,4,3,1
74,15,6,7,7,4,0
75,15,6,6,7,4,0
76,15,6,11,7,4,0
77,15,6,8,7,4,0
78,25,5,11,6,3,0
79,10,7,8,6,4,1
80,18,7,11,7,3,0
81,9,5,7,6,3,1
82,9,6,8,3,1,1
83,18,5,7,3,3,1
84,19,6,11,6,4,1
85,18,6,11,2,4,1
86,15,6,7,7,4,0
87,9,6,11,6,4,1
88,15,6,6,7,4,0
89,15,6,11,7,4,0
90,15,6,8,7,4,0
91,15,6,7,7,4,0
92,15,6,6,7,4,1
93,9,6,7,6,4,1
94,15,6,8,7,4,0
95,19,5,11,3,3,1
96,27,7,6,7,3,0
97,15,6,9,7,4,1
98,18,5,6,6,3,1
99,19,4,7,6,3,1
100,19,7,7,6,3,1
101,18,5,8,1,3,1
102,27,5,7,6,3,0
103,18,7,6,3,3,1
104,18,7,7,7,2,0
105,19,7,7,7,2,0
106,5,5,7,7,2,0
107,18,7,7,1,2,1
108,15,7,7,7,3,0
109,18,7,7,6,3,1
110,19,6,7,6,3,1
111,10,7,7,6,2,1
112,19,5,7,7,2,1
113,19,5,7,6,3,1
114,18,5,7,7,3,1
115,18,5,7,6,3,1
116,19,5,7,7,4,1
117,18,7,7,6,3,1
118,5,5,8,7,4,1
119,19,7,7,6,2,1
120,20,5,11,2,2,0
121,18,5,7,3,3,1
122,18,7,7,6,3,1
123,18,7,11,7,2,1
124,5,6,7,6,3,1
125,19,6,7,2,3,1
126,18,7,10,7,4,1
127,18,7,10,7,4,1
128,18,6,10,7,4,1
129,18,7,10,7,4,1
130,18,7,10,7,4,1
131,18,7,10,7,4,1
132,18,7,10,7,4,1
133,18,7,10,7,4,1
134,18,7,10,7,4,1
135,18,7,10,7,4,1
136,18,7,10,7,4,1
137,18,7,10,7,4,1
138,18,6,10,7,4,1
139,20,5,9,6,2,0
140,18,5,7,5,2,1
141,18,6,7,6,3,1
142,18,5,11,6,3,1
143,19,5,8,6,3,1
144,27,5,7,4,2,0
145,15,7,9,2,2,0
146,18,6,11,7,2,0
147,27,7,6,2,2,1
148,18,6,9,3,3,0
149,18,6,7,3,3,1
150,18,6,9,3,3,1
151,5,5,9,6,3,0
152,15,7,6,7,3,0
153,15,6,11,7,4,0
154,15,6,8,7,4,0
155,15,6,7,7,4,0
156,15,6,6,7,4,0
157,18,6,7,6,3,1
158,15,6,9,7,4,0
159,15,7,6,0,4,1
160,18,5,7,6,3,1
161,0,6,6,3,4,1
162,19,5,7,7,0,1
163,27,5,9,6,3,0
164,19,5,9,6,3,1
165,18,5,7,4,2,1
166,18,6,11,3,4,1
167,18,7,7,7,3,1
168,19,7,9,7,3,0
169,18,5,11,3,3,1
170,15,6,7,7,4,0
171,19,6,7,3,4,1
172,15,6,9,7,4,0
173,15,6,8,7,4,0
174,15,6,6,7,4,0
175,19,7,6,7,3,0
176,18,5,8,6,3,0
177,25,4,7,6,3,1
178,19,3,9,3,3,1
179,9,5,7,6,3,1
180,9,5,8,5,2,0
181,19,6,7,6,3,1
182,18,5,11,7,4,0
183,18,6,7,3,3,1
184,15,6,11,7,4,0
185,27,6,8,7,4,0
186,15,6,7,7,4,0
187,21,6,8,3,4,1
188,15,6,6,7,4,0
189,27,6,9,3,4,0
190,15,6,6,7,4,0
191,9,6,9,6,4,1
192,18,6,7,3,4,1
193,18,5,11,7,2,0
194,9,6,9,6,3,1
195,18,7,6,6,3,1
196,9,6,8,6,4,1
197,0,5,6,5,0,1
198,18,6,7,2,3,1
199,18,6,7,6,3,1
200,15,6,7,7,4,0
201,18,6,7,6,4,1
202,15,6,6,7,4,0
203,15,6,11,7,4,0
204,15,7,7,7,4,1
205,18,5,6,7,2,1
206,5,7,9,7,3,0
207,15,7,11,3,3,0
208,18,7,6,6,3,1
209,18,6,7,3,3,1
210,18,6,7,6,3,1
211,18,7,6,1,2,0
212,19,7,8,6,3,0
213,15,7,9,7,3,0
214,18,7,11,3,4,1
215,19,7,11,7,3,0
216,18,7,8,4,3,1
217,19,7,9,7,2,0
218,18,7,8,6,3,1
219,9,7,7,6,3,1
220,18,7,6,6,3,1
221,18,7,7,7,3,0
222,18,7,6,7,4,0
223,19,7,8,7,2,1
224,2,7,6,0,2,1
225,5,6,9,6,3,0
226,18,5,6,3,3,1
227,15,6,6,7,4,0
228,19,6,9,2,4,0
229,15,6,6,7,4,0
230,15,6,9,7,4,0
231,18,5,6,3,3,0
232,18,5,9,6,3,0
233,20,5,6,7,4,1
234,5,5,9,6,3,0
235,18,5,6,6,3,1
236,18,5,9,6,3,1
237,5,5,6,7,2,0
238,20,2,9,6,3,1
239,18,5,9,7,3,0
240,18,5,6,7,3,1
241,5,5,6,6,3,1
242,18,5,9,7,2,0
243,15,5,9,5,2,0
244,19,5,6,1,2,0
245,19,5,9,6,3,1
246,15,6,9,7,4,0
247,15,6,9,7,4,0
248,15,6,9,7,4,0
249,15,6,9,7,4,0
250,19,5,6,3,3,1
251,9,6,6,6,3,1
252,27,7,6,3,2,1
253,9,7,6,2,2,0
254,19,7,9,7,3,1
255,18,7,9,6,3,0
256,27,7,6,3,3,1
257,18,7,6,6,3,1
258,27,7,6,6,3,1
259,19,7,6,7,2,1
260,5,7,9,7,2,0
261,18,7,6,7,2,0
262,18,4,7,6,3,1
263,5,7,6,7,4,0
264,25,5,6,6,3,1
265,18,6,7,1,3,0
266,5,5,6,7,2,1
267,5,5,9,6,3,0
268,19,5,8,7,2,0
269,9,5,7,6,3,1
270,19,5,6,5,2,1
271,15,7,6,7,4,0
272,1,7,9,6,3,0
273,19,6,7,1,3,0
274,19,6,9,6,3,0
275,1,5,7,3,2,0
276,15,6,9,7,4,0
277,19,6,8,7,4,0
278,15,6,6,7,4,0
279,15,6,7,7,4,0
280,15,6,9,7,4,0
281,15,6,8,7,4,0
282,15,6,9,7,4,0
283,15,6,6,7,4,0
284,10,7,8,7,0,1
285,19,6,6,7,3,0
286,12,7,6,6,0,1
287,19,5,6,1,3,1
288,15,6,5,7,4,1
289,19,6,7,6,3,1
290,15,6,9,7,4,0
291,15,6,6,7,4,0
292,15,6,8,7,4,0
293,18,6,9,1,3,0
294,19,5,9,6,3,1
295,18,5,8,7,2,1
296,18,5,8,5,2,1
297,27,5,8,6,3,0
298,19,7,6,0,2,1
299,5,6,7,7,4,0
300,12,5,6,7,0,0
301,27,7,8,7,4,0
302,9,7,7,3,3,1
303,9,6,8,4,3,1
304,18,7,7,7,3,0
305,27,7,9,7,4,0
306,5,7,6,7,4,0
307,9,6,9,3,3,1
308,15,6,8,7,4,1
309,18,5,8,6,3,1
310,18,7,8,1,4,0
311,18,6,8,6,3,1
312,18,7,9,4,2,0
313,27,7,7,7,2,1
314,19,5,11,5,2,1
315,19,5,7,6,3,1
316,18,5,11,1,2,1
317,19,6,9,7,4,0
318,15,6,9,7,4,0
319,15,6,6,7,4,0
320,19,7,9,7,1,1
321,9,6,7,3,3,1
322,19,7,8,7,2,1
323,27,7,7,6,3,1
324,2,7,6,2,2,1
325,19,5,8,5,2,0
326,19,6,7,2,3,1
327,19,7,9,6,3,1
328,18,6,7,3,3,1
329,5,5,5,5,2,1
330,15,6,11,7,4,0
331,18,6,8,7,4,0
332,18,6,9,6,3,1
333,15,6,6,7,4,0
334,27,6,9,7,4,0
335,15,5,5,4,4,0
336,15,6,7,7,4,0
337,15,6,11,7,4,0
338,15,6,6,7,4,0
339,15,6,9,7,4,0
340,15,6,7,7,4,0
341,5,6,11,1,4,0
342,18,7,11,6,3,1
343,27,6,6,7,4,0
344,15,6,8,7,4,0
345,15,6,9,7,4,0
346,15,6,8,7,4,0
347,15,6,11,7,4,0
348,27,6,11,3,4,1
349,15,6,11,7,4,0
350,19,6,11,6,4,0
351,9,5,7,5,2,1
352,9,6,7,6,3,1
353,9,6,7,6,3,1
354,18,7,7,3,3,1
355,9,5,9,7,2,0
356,19,5,8,4,2,0
357,9,5,11,4,2,0
358,18,5,7,4,2,1
359,18,6,8,3,3,1
360,19,5,11,5,2,0
361,12,5,8,7,0,0
362,9,5,9,4,2,0
363,20,5,6,6,3,0
